C318_T,INGTOT_log,INGTRABW_log,INGTOT,ingtrabw,C335_1,C335_2,busca_otro_empleo,I342,trabaja_menos_35h,INGTOTP,ingreso_por_hora_log,ingreso_secundario_total,ingreso_por_hora,C377,SEGURO1,INGTOTP_log,C208,horas_secundaria,I339_1,tiene_pension,C207,whoraT,tiene_sis,C361_5,C328_T,C366,grupo_edad_35_44,jefe_hogar,C311_ ,empresa_registrada_sunat,tiene_seguro_salud,proteccion_social_completa
60.0,7.659171367666058,7.659171367666058,2119.0,2119.0,False,True,0,1160.0,0,2119.0,2.21443933359594,0.0,8.156274056966897,7,5,7.659171367666058,60.0,0.0,1299.0,1,1,60.0,1,1,10.0,4,False,1,False,0,1,1
71.0,7.852050207265889,7.852050207265889,2570.0,2570.0,False,True,0,2570.0,0,2570.0,2.236405394571966,2570.0,8.359626581660866,7,5,7.852050207265889,33.0,0.0,1500.0,0,1,71.0,1,1,10.0,4,False,1,True,0,1,0
63.0,6.988413181999592,6.988413181999592,1083.0,1083.0,False,True,0,1160.0,0,1083.0,1.6034373208446004,0.0,3.970086880017596,1,5,6.988413181999592,33.0,0.0,1083.0,1,2,63.0,1,1,10.0,8,False,0,False,1,1,1
35.0,7.313886831633462,7.313886831633462,1500.0,1500.0,False,True,0,1160.0,0,1500.0,2.2680462434397084,0.0,8.660508083140877,7,1,7.313886831633462,22.0,0.0,1500.0,1,1,40.0,0,2,10.0,10,False,0,False,1,1,1
71.0,8.515391569469609,8.515391569469609,4990.0,4990.0,False,True,0,4990.0,0,4990.0,2.846729657219353,4990.0,16.231337214975767,7,5,8.515391569469609,58.0,0.0,1500.0,1,1,71.0,1,1,10.0,5,False,1,True,1,1,1
48.0,7.170888478512505,7.2115567333138015,1300.0,1354.0,False,True,0,1160.0,0,1300.0,2.0168513394522574,0.0,6.514626635873749,7,1,7.170888478512505,27.0,0.0,1300.0,1,2,48.0,0,2,10.0,6,False,0,False,1,1,1
16.0,4.61512051684126,4.61512051684126,100.0,100.0,False,True,0,100.0,1,100.0,0.8933978844157549,100.0,1.443418013856813,7,6,4.61512051684126,18.0,0.0,1500.0,0,1,16.0,0,2,10.0,6,False,0,True,0,0,0
36.0,6.478509642208569,6.478509642208569,650.0,650.0,True,False,1,650.0,0,650.0,1.6428483675772,650.0,4.169874262253015,7,5,6.478509642208569,52.0,0.0,1500.0,1,1,36.0,1,1,10.0,11,False,0,True,0,1,1
50.0,3.871201010907891,3.871201010907891,47.0,47.0,False,True,0,25.0,0,47.0,0.1964628205388724,25.0,0.2170900692840646,7,5,3.871201010907891,31.0,0.0,1500.0,1,2,50.0,1,1,10.0,6,False,1,True,0,1,1
58.0,8.194229304819817,8.194229304819817,3619.0,3619.0,False,True,0,1160.0,0,3619.0,2.7350354085192787,0.0,14.41028908178705,7,1,8.194229304819817,28.0,0.0,3000.0,1,1,58.0,0,2,10.0,9,False,1,False,1,1,1
