feature,mi_score,rank_mi,rf_importance,rank_rf,abs_logit_coef,rank_logit,combined_rank
lleva_libros_contables,0.00022479487923154906,99,0.0018135742150439174,100,0.029742022816345276,83,94.0
proteccion_social_completa,0.0,122,0.00496596308678958,49,0.009931831551485616,111,94.0
secundaria_completa,0.0,111,0.004492235594255985,57,0.008763855852078268,115,94.33333333333333
whoraT_outlier_flag,0.0007105418095707527,90,1.3647917854030381e-05,136,0.05556080263320757,57,94.33333333333333
autoidentificacion_indigena,0.0,110,0.004591303350341279,54,0.005951372627887294,121,95.0
C335_ ,0.0,136,0.0005730128002832588,116,0.09618797423213887,34,95.33333333333333
educacion_basica_o_menos,0.0,115,0.0033281308982405955,78,0.02192160068903052,94,95.66666666666667
C366_1_4,4.248662413286475e-05,104,0.0030815455848909805,85,0.01726072634718493,99,96.0
joven,0.0,119,0.005823444594730285,38,0.0012664722968805209,134,97.0
alto_ingreso_relativo,0.0007852236438972149,88,0.0017864577536078224,101,0.013614058563932538,102,97.0
C366_2_6,0.0037536918285976384,55,0.0009125662714182809,111,0.0028287193931063616,127,97.66666666666667
empleador,0.0,113,0.0013290702158627295,105,0.03475902515798238,75,97.66666666666667
dependencia_ingreso_principal,0.0,121,0.0018253611999268285,99,0.03503184518125413,74,98.0
C375_4,0.0037275542002208617,56,9.173953604863881e-05,132,0.01163983038448444,107,98.33333333333333
autoidentificacion_afro,0.001543141280017979,76,0.002401661518541885,90,0.001312227073917736,133,99.66666666666667
grupo_educativo_Secundaria incompleta,0.0,138,0.0034365019032670495,75,0.025449266286607812,88,100.33333333333333
INGTRABW_outlier_flag,0.0,120,0.0004840567524273817,120,0.0506631505475584,62,100.66666666666667
cantidad_limitaciones,0.0009009132379071971,84,0.0006796030705214548,114,0.012373505411495105,106,101.33333333333333
sobrejornada,0.0,107,0.0034361634827732523,76,0.005811815770334376,123,102.0
C366_1_ ,0.0,127,0.001312523077067856,106,0.0340781896271421,76,103.0
whoraT_missing_flag,0.003861362048459993,52,4.366695426246856e-06,137,0.0034765752416455937,125,104.66666666666667
C311_3,0.0,133,0.00032523411150232884,122,0.050443056142222296,63,106.0
brecha_educativa_baja,0.00011458061070612757,103,0.0019958461479929047,95,0.002668467141604307,128,108.66666666666667
C366_1_6,0.0,124,0.0008539822683901837,112,0.023813542038284376,91,109.0
C311_4,0.0,134,0.0013292940031837126,104,0.01751429453787319,98,112.0
C375_1,0.0007126807059136819,89,0.00024663615936845436,125,0.005918216552302,122,112.0
C375_2,0.001912518899147786,73,8.381581651827663e-05,133,0.0017116997346761681,132,112.66666666666667
C366_2_1,0.0,123,0.00014288984002081007,130,0.02695492181459927,85,112.66666666666667
C366_2_3,0.0007982907720305299,87,0.0002409255083057311,126,0.003399057128644695,126,113.0
C366_2_5,0.0,130,0.0003535944752752521,121,0.023491830729584173,92,114.33333333333333
C366_2_4,0.0004919381842798387,94,0.00015973426050925078,129,0.006968181509243643,120,114.33333333333333
tiene_discapacidad,0.0,109,0.0006164984758132461,115,0.002219029355355452,129,117.66666666666667
brecha_horas_normal,0.0,117,0.0017291685546554714,103,0.00031213414075091666,137,119.0
INGTOT_outlier_flag,0.0,118,0.0005094411023082016,119,0.0018389566813488923,130,122.33333333333333
grupo_educativo_Primaria,0.0,137,0.0021065281047397146,92,0.00014214324842543448,138,122.33333333333333
C366_1_0,0.0,128,8.314042766800022e-05,134,0.007843049816745797,119,127.0
