C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,target_subempleo_horas
2,58.0,7,11,5, ,2, ,3,2,1,1,2,36.0,,36.0,,850.0,850.0,850.0,,650.0,,,6.746412128573375,6.746412128573375,6.746412128573375,1,1,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,49.0,1,9,5, ,2, ,3,2,1,1,2,54.0,,54.0,,1700.0,1700.0,1700.0,,1700.0,,,7.438971592395862,7.438971592395862,7.438971592395862,6,2,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,45.0,2,6,5, ,2, ,3,2,1,2,2,12.0,,12.0,,43.0,43.0,43.0,,43.0,,,3.784189633918261,3.784189633918261,3.784189633918261,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,22.0,3,6,5, ,3,5,1, ,5,1500,2,48.0,,48.0,,1026.0,1026.0,1281.0,1026.0,,,,6.934397209928558,6.934397209928558,7.156176637480615,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,17.0,3,6,5, ,3,5,2,2,1,5,2,53.0,,53.0,,650.0,650.0,650.0,650.0,,,,6.478509642208569,6.478509642208569,6.478509642208569,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,70.0,1,4,5, ,2, ,3,2,1,1,2,35.0,,35.0,,1380.0,1380.0,1380.0,,1170.0,,,7.2305631534092925,7.2305631534092925,7.2305631534092925,6,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0
2,65.0,2,6,5, ,2, ,3,2,1,1,2,70.0,,70.0,,1050.0,1050.0,1050.0,,1030.0,,,6.957497370876951,6.957497370876951,6.957497370876951,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,36.0,1,5,3, ,6, , , ,1,1,1,25.0,,25.0,,817.0,817.0,817.0,600.0,,,,6.706862336602747,6.706862336602747,6.706862336602747,5,2,1,2,1,2,2,2,2,2,2,1,9,0,0,0,0,0,0
1,40.0,1,6,5, ,2, ,3,2,1,1,2,54.0,,54.0,,1198.0,1198.0,1198.0,,1198.0,,,7.089243155027514,7.089243155027514,7.089243155027514,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,37.0,2,8,2, ,2, ,3,2,1,1,1,42.0,,42.0,,173.0,173.0,173.0,,173.0,,,5.159055299214529,5.159055299214529,5.159055299214529,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,35.0,1,6,5, ,3,5,3,2,1,4,2,48.0,,48.0,,2598.0,2598.0,2598.0,2598.0,,,,7.86288203464149,7.86288203464149,7.86288203464149,5,2,1,2,2,2,2,2,2,2,2,10,5,0,0,0,0,0,0
2,32.0,2,6,5, ,3,5,3,2,1,4,2,16.0,,16.0,,650.0,650.0,650.0,650.0,,,,6.478509642208569,6.478509642208569,6.478509642208569,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,59.0,1,9,3, ,3,1, , ,5,9998,2,90.0,,90.0,,3000.0,3000.0,3058.0,3000.0,,,,8.006700845440367,8.006700845440367,8.025843344150903,4,2,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,51.0,2,6,5, ,2, ,3,2,1,4,2,16.0,,16.0,,1299.0,1299.0,1299.0,,866.0,,,7.170119543449628,7.170119543449628,7.170119543449628,4,2,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,30.0,3,10,3, ,3,4,1, ,4,200,2,45.0,10.0,55.0,,1125.0,1125.0,1380.0,1125.0,,,,7.026426808699636,7.026426808699636,7.2305631534092925,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,22.0,3,8,1, ,3,4,1, ,4,200,2,72.0,6.0,78.0,,1500.0,1500.0,1500.0,1500.0,,,,7.313886831633462,7.313886831633462,7.313886831633462,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,49.0,1,6,5, ,2, ,2,2,1,1,2,48.0,,48.0,,1500.0,1500.0,1500.0,,1500.0,,,7.313886831633462,7.313886831633462,7.313886831633462,3,1,2,2,2,2,2,2,2,2,2,1,7,0,0,0,0,0,0
1,43.0,3,6,5, ,3,5,1, ,4,150,2,70.0,,70.0,,1500.0,1500.0,1875.0,1500.0,,,,7.313886831633462,7.313886831633462,7.53689712956617,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,67.0,1,9,3, ,2, ,3,2,1,2,2,70.0,,70.0,,619.0,619.0,619.0,,619.0,,,6.429719478039138,6.429719478039138,6.429719478039138,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,64.0,2,5,4, ,4, ,3,2,1,2, ,35.0,,35.0,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,18.0,5,6,5, ,3,4,1, ,2,40,1,14.0,,14.0,,680.0,680.0,680.0,680.0,,,,6.523562306149512,6.523562306149512,6.523562306149512,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,43.0,1,6,5, ,3,5,1, ,2,25,1,47.0,5.0,52.0,,2319.0,1819.0,2319.0,1819.0,,,500.0,7.749322464660356,7.506591780070841,7.749322464660356,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,57.0,3,6,5, ,3,5,1, ,5,9998,2,35.0,21.0,56.0,,4800.0,3000.0,4800.0,3000.0,,1800.0,,8.476579508530941,8.006700845440367,8.476579508530941,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
2,67.0,7,6,5, ,6, , , ,1,1,2,58.0,,58.0,,2500.0,2500.0,2658.0,1200.0,,,,7.824445930877619,7.824445930877619,7.88570539124302,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,40.0,3,8,2, ,3,4,1, ,4,450,2,66.0,,66.0,,1900.0,1900.0,2374.0,1900.0,,,,7.550135342488429,7.550135342488429,7.772752716468742,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,66.0,1,6,5, ,4, ,2,2,1,2, ,19.0,,19.0,,,,,,,,,,,,5,2,1,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,60.0,2,6,5, ,2, ,2,2,1,2,2,38.0,,40.0,40.0,1044.0,1044.0,1044.0,,827.0,,,6.951772164398911,6.951772164398911,6.951772164398911,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,55.0,1,9,3, ,6, , , ,1,1,2,42.0,,42.0,,1320.0,1320.0,1320.0,800.0,,,,7.186144304522325,7.186144304522325,7.186144304522325,1,1,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,23.0,1,10,1, ,3,5,1, ,2,40,2,46.0,,46.0,,2020.0,2020.0,2020.0,1500.0,,,,7.611347717403621,7.611347717403621,7.611347717403621,5,2,1,2,2,2,2,2,2,2,2,10,6,0,0,0,0,0,0
2,38.0,1,5,3, ,2, ,3,2,1,1,2,30.0,6.0,36.0,,2479.0,1779.0,2479.0,,1000.0,,700.0,7.8160138391590275,7.484368643286131,7.8160138391590275,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
