ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_ond24,fa_efm24,fa_amj24,fa_jas24
2024,10,17895,1,85,1,1,202410178951008000,1,3,8,1,1, ,2,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,,,
2024,10,17895,1,85,1,1,202410178951008000,1,4,8,1,1, ,2,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,,,
2024,10,17667,1,17,1,1,202410176671000992,1,1,1,1,2, ,2,33,1,1,18,2,1991,1, , , , , , , , , , , , , , , ,3314,4321,1, ,1, ,1,20,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2, , , ,15000, , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,1, , ,15000, , , , , , ,15000,15000,15000,1,680.090592632895,,,
2024,10,17667,1,17,1,1,202410176671000992,1,2,2,1,2, ,1,33,2,2,11,7,1991,1, , , , , , , , , , , , , , , ,4110,6110,3,5,1, ,3,60,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2,4,5000, , , , , , , , , , , , , , ,1,2,2, ,1,1,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,5000, , , , , , , ,500,5000,5000,5500,1,757.935198208993,,,
2024,10,17667,1,17,1,1,202410176671000992,1,3,3,1,2, ,2,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,,,
2024,10,17667,1,17,1,1,202410176671000992,1,4,3,1,2, ,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,,,
2024,10,17667,1,19,1,1,202410176671000992,1,1,1,1,2, ,1,55,1,1,24,10,1968,1, , , , , , , , , , , , , , , ,9112,8121,3,4,1, ,4,500,8,8,8,8,0,8,8,48, ,48,1, ,2, ,2,2,4,1000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1000, , , , , , , ,166,1000,1000,1166,1,599.108422502474,,,
2024,10,17667,1,19,1,1,202410176671000992,1,2,2,1,2, ,2,59,2,2,23,6,1965,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,564.067316019017,,,
2024,10,17667,1,19,1,1,202410176671000992,1,3,6,1,2, ,2,86,3,3,15,4,1938,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,564.067316019017,,,
2024,10,17667,1,19,1,1,202410176671000992,1,4,3,1,2, ,2,22,4,4,9,10,2002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,705.595510596092,,,
2024,10,17667,1,19,1,1,202410176671000992,1,5,3,1,2, ,1,19,5,5,8,12,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,621.110669548809,,,
2024,10,17667,1,21,1,1,202410176671001984,1,1,1,1,2, ,1,52,1,1,6,4,1972,1, , , , , , , , , , , , , , , ,7322,3100,2, ,3,2,1,1,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,7,1, , ,1320, , , , , , ,1320,1320,1320,1,599.108422502474,,,
2024,10,17667,1,21,1,1,202410176671001984,1,2,2,1,2, ,2,57,2,2,30,6,1967,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2,2,250,190, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,1,1083,822, , , , , , , ,1905,1905,1905,1,564.067316019017,,,
2024,10,4685001,1,55,1,1,20241046850011000832,1,1,1,1,2, ,1,43,1,1,20,11,1980,1, , , , , , , , , , , , , , , ,8156,1520,3,5,2,2,1,3,0,10,8,8,8,9,9,52, ,52,1, ,2, ,2,2,2,480,60, , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,5,1, ,2,2,2,2,2,2,10,7,1,2078,260, , , , , , , ,2338,2338,2338,1,1934.8197002601,,,
2024,10,4685001,1,55,1,1,20241046850011000832,1,2,2,1,2, ,2,42,2,2,30,4,1982,1, , , , , , , , , , , , , , , ,3221,8610,3,2, , ,5,9998,0,6,6,6,6,6,6,36, ,36,1, ,2, ,2,2,4,1800, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1800, , , , , , , , ,1800,1800,1800,1,1736.10181938649,,,
2024,10,4685001,1,55,1,1,20241046850011000832,1,3,3,1,2, ,2,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,,,
2024,10,4685001,1,55,1,1,20241046850011000832,1,4,3,1,2, ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,,,
